"Date";"Significant height (cm)";"Significant period (sec)";"EN (22+ cm2)";"EN (20 cm2)";"EN (17 cm2)";"EN (15 cm2)";"EN (13 cm2)";"EN (11 cm2)";"EN (9 cm2)";"EN (7 cm2)";"EN (5 cm2)";"EN (3 cm2)"
"2016-08-07 18:46:00";"96";"7";"0";"0";"0";"133";"0";"0";"151";"154";"139";"0"
"2016-08-07 19:46:00";"111";"10";"1";"0";"0";"331";"0";"0";"364";"22";"57";"0"
"2016-08-07 20:46:00";"132";"6";"0";"0";"0";"83";"0";"0";"120";"229";"663";"0"
"2016-08-07 21:46:00";"148";"6";"1";"0";"0";"517";"0";"0";"126";"117";"610";"0"
"2016-08-07 22:46:00";"160";"6";"0";"0";"0";"174";"0";"0";"602";"86";"734";"0"
"2016-08-07 23:46:00";"94";"10";"1";"0";"0";"154";"0";"0";"168";"130";"98";"0"
"2016-08-08 00:46:00";"163";"10";"1";"0";"0";"325";"0";"0";"991";"121";"225";"0"
"2016-08-08 01:46:00";"150";"10";"1";"0";"0";"277";"0";"0";"464";"300";"354";"0"
"2016-08-08 02:46:00";"183";"16";"1";"0";"0";"776";"0";"0";"618";"155";"549";"0"
"2016-08-08 03:46:00";"139";"16";"2";"0";"0";"704";"0";"0";"388";"34";"85";"0"
"2016-08-08 04:46:00";"106";"6";"1";"0";"0";"150";"0";"0";"96";"55";"402";"0"
"2016-08-08 05:46:00";"122";"6";"1";"0";"0";"229";"0";"0";"204";"177";"322";"0"
"2016-08-08 06:46:00";"206";"16";"1";"0";"0";"2337";"0";"0";"55";"49";"200";"0"
"2016-08-08 07:46:00";"96";"16";"1";"0";"0";"236";"0";"0";"150";"62";"127";"0"
"2016-08-08 08:46:00";"133";"6";"0";"0";"0";"256";"0";"0";"379";"83";"388";"0"
"2016-08-08 09:46:00";"137";"6";"1";"0";"0";"194";"0";"0";"80";"318";"577";"0"
"2016-08-08 10:46:00";"138";"10";"1";"0";"0";"388";"0";"0";"489";"62";"245";"0"
"2016-08-08 11:46:00";"142";"16";"1";"0";"0";"584";"0";"0";"210";"65";"399";"0"
