Date;Date (PC1900);Time, Instrument (julian days);Temperature (ITS-90, deg C);Conductivity (S/m);Salinity, Practical (PSU);Oxygen, SBE43 (mL/L);Oxygen, SBE43 (% saturation);pH
11/04/2009 19:31;39914.8;101.813;28.326;5.82929;36.2019;4.10664;92.2239;8.175
11/04/2009 20:01;39914.8;101.834;28.2058;5.8182;36.2163;4.11715;92.2869;8.172
11/04/2009 20:31;39914.9;101.855;26.7969;5.68437;36.3578;4.29035;94.0455;8.174
11/04/2009 21:01;39914.9;101.876;26.8208;5.68722;36.3595;4.29768;94.2445;8.177
11/04/2009 21:31;39914.9;101.897;26.2644;5.63005;36.384;4.23281;91.9808;8.172
11/04/2009 22:01;39914.9;101.917;26.383;5.64232;36.3795;4.26023;92.7574;8.174
11/04/2009 22:31;39914.9;101.938;27.2647;5.73024;36.321;4.34684;96.0027;8.183
11/04/2009 23:01;39915;101.959;26.8536;5.68999;36.3537;4.29451;94.2229;8.178
11/04/2009 23:31;39915;101.98;26.9101;5.69555;36.3494;4.3095;94.6379;8.181
12/04/2009 00:01;39915;102.001;27.0432;5.70903;36.3421;4.33901;95.4917;8.185
12/04/2009 00:31;39915;102.022;26.9568;5.70042;36.3478;4.31396;94.8083;8.181
12/04/2009 01:01;39915;102.042;27.0694;5.71183;36.3416;4.33882;95.5288;8.184
12/04/2009 01:31;39915.1;102.063;26.6992;5.67429;36.3618;4.31116;94.3509;8.181
12/04/2009 02:01;39915.1;102.084;27.1601;5.71954;36.326;4.36412;96.2211;8.184
12/04/2009 02:31;39915.1;102.105;27.0991;5.71306;36.3273;4.37562;96.3784;8.185
12/04/2009 03:01;39915.1;102.126;27.0491;5.70805;36.3304;4.35643;95.8782;8.184
12/04/2009 03:31;39915.1;102.147;26.3993;5.64416;36.3799;4.27547;93.1146;8.178
12/04/2009 04:01;39915.2;102.167;26.5951;5.66395;36.3689;4.29098;93.7512;8.182
12/04/2009 04:31;39915.2;102.188;26.8218;5.68651;36.3536;4.31701;94.6667;8.187
12/04/2009 05:01;39915.2;102.209;26.9772;5.70137;36.3387;4.33913;95.3886;8.186
12/04/2009 05:31;39915.2;102.23;27.0626;5.70935;36.3292;4.34793;95.7117;8.186
12/04/2009 06:01;39915.2;102.251;26.5041;5.65484;36.3748;4.27673;93.3016;8.184
12/04/2009 06:31;39915.3;102.272;26.665;5.67083;36.3637;4.29586;93.964;8.182
12/04/2009 07:01;39915.3;102.292;26.8972;5.69203;36.3342;4.3723;95.9885;8.19
12/04/2009 07:31;39915.3;102.313;26.8769;5.68975;36.3337;4.35426;95.5599;8.189
12/04/2009 08:01;39915.3;102.334;26.7853;5.67892;36.3275;4.3898;96.1906;8.187
12/04/2009 08:31;39915.4;102.355;26.7844;5.6794;36.3318;4.36289;95.6019;8.188
12/04/2009 09:01;39915.4;102.376;26.7631;5.67837;36.341;4.3314;94.8833;8.186
12/04/2009 09:31;39915.4;102.397;26.7688;5.67824;36.3356;4.37876;95.9269;8.19
12/04/2009 10:01;39915.4;102.417;25.7248;5.57176;36.3861;4.14707;89.3088;8.177
12/04/2009 10:31;39915.4;102.438;25.5036;5.54734;36.3827;4.10584;88.0909;8.176
12/04/2009 11:01;39915.5;102.459;25.7762;5.57767;36.3886;4.17001;89.8815;8.183
12/04/2009 11:31;39915.5;102.48;25.497;5.54627;36.3801;4.08123;87.5518;8.174
12/04/2009 12:01;39915.5;102.501;25.5298;5.55023;36.3832;4.11719;88.3736;8.181
12/04/2009 12:31;39915.5;102.522;25.5445;5.55182;36.3832;4.115;88.3484;8.184
12/04/2009 13:01;39915.5;102.542;26.1631;5.61926;36.3857;4.26711;92.5704;8.196
12/04/2009 13:31;39915.6;102.563;25.5008;5.5469;36.3818;4.12422;88.4805;8.186
12/04/2009 14:01;39915.6;102.584;25.5963;5.5577;36.3852;4.1454;89.0798;8.19
12/04/2009 14:31;39915.6;102.605;25.8853;5.58956;36.389;4.1835;90.3376;8.193
12/04/2009 15:01;39915.6;102.626;26.1107;5.61318;36.3828;4.23912;91.8812;8.193
12/04/2009 15:31;39915.6;102.647;26.2874;5.63152;36.3765;4.25662;92.5297;8.198
12/04/2009 16:01;39915.7;102.667;27.6644;5.76798;36.2792;4.27795;95.0809;8.201
12/04/2009 16:31;39915.7;102.688;27.6817;5.76946;36.2763;4.28991;95.3721;8.199
12/04/2009 17:01;39915.7;102.709;27.0961;5.71286;36.3282;4.33484;95.4758;8.199
12/04/2009 17:31;39915.7;102.73;26.7313;5.6761;36.3496;4.30173;94.1884;8.196
12/04/2009 18:01;39915.8;102.751;26.1605;5.61959;36.3901;4.22509;91.6571;8.195
12/04/2009 18:31;39915.8;102.772;26.2385;5.62762;36.3868;4.27413;92.8401;8.198
12/04/2009 19:01;39915.8;102.792;26.2043;5.62389;36.3868;4.22826;91.7911;8.195
12/04/2009 19:31;39915.8;102.813;27.6341;5.76465;36.279;4.26606;94.7694;8.203
12/04/2009 20:01;39915.8;102.834;27.1294;5.71524;36.3193;4.30195;94.7986;8.202
12/04/2009 20:31;39915.9;102.855;26.8343;5.686;36.3402;4.27862;93.8371;8.2
12/04/2009 21:01;39915.9;102.876;27.0396;5.70623;36.3248;4.30078;94.6356;8.205
12/04/2009 21:31;39915.9;102.897;26.3968;5.64371;36.3787;4.27483;93.096;8.201
12/04/2009 22:01;39915.9;102.917;27.6799;5.76827;36.2692;4.25087;94.4977;8.207
12/04/2009 22:31;39915.9;102.938;27.2458;5.72612;36.3063;4.27123;94.2956;8.204
12/04/2009 23:01;39916;102.959;28.6563;5.86034;36.1665;4.07153;91.9085;8.206
12/04/2009 23:31;39916;102.98;28.749;5.86981;36.1619;4.04137;91.3623;8.205
13/04/2009 00:01;39916;103.001;28.6796;5.86314;36.1683;4.06348;91.7622;8.206
13/04/2009 00:31;39916;103.022;28.081;5.80581;36.225;4.16038;93.071;8.203
13/04/2009 01:01;39916;103.042;28.0175;5.80011;36.2337;4.16118;92.9972;8.202
